Code,Area,Year,Gender,level_1,Economically_Active,Working_Age,confidence,percent,Year_start
00AA,City of London,1,All Persons,,2300.0,4000.0,,58.7,
00AB,Barking and Dagenham,1,All Persons,,3000.0,3400.0,,88.9,
00AC,Barnet,1,All Persons,,6100.0,6600.0,14.5,92.9,
00AD,Bexley,1,All Persons,,4500.0,5500.0,,81.6,
00AE,Brent,1,All Persons,,2900.0,5000.0,,59.0,
00AF,Bromley,1,All Persons,,1600.0,2100.0,,74.0,
00AG,Camden,1,All Persons,,1700.0,2200.0,,78.3,
00AH,Croydon,1,All Persons,,,,,65.6,
00AJ,Ealing,1,All Persons,,,2900.0,,,
00AK,Enfield,1,All Persons,,,5600.0,,64.4,
00AL,Greenwich,1,All Persons,,4900.0,6100.0,,79.4,
00AM,Hackney,1,All Persons,,7200.0,11100.0,,65.0,
00AN,Hammersmith and Fulham,1,All Persons,,5700.0,7500.0,,76.0,
00AP,Haringey,1,All Persons,,7400.0,8500.0,,87.2,
00AQ,Harrow,1,All Persons,,9100.0,9100.0,,100.0,
00AR,Havering,1,All Persons,,25800.0,25800.0,,100.0,
00AS,Hillingdon,1,All Persons,,16700.0,16700.0,,100.0,
00AT,Hounslow,1,All Persons,,,,,,
00AU,Islington,1,All Persons,,,,,,
00AW,Kensington and Chelsea,2,All Persons,,72400.0,105000.0,3.8,69.0,
00AX,Kingston upon Thames,2,All Persons,,72100.0,105000.0,3.8,68.7,
00AY,Lambeth,2,All Persons,,76500.0,105900.0,3.7,72.3,
00AZ,Lewisham,2,All Persons,,76600.0,108400.0,3.6,70.7,
00BA,Merton,2,All Persons,,78700.0,110700.0,3.8,71.1,
00BB,Newham,2,All Persons,,83400.0,115200.0,3.5,72.4,
00BC,Redbridge,2,All Persons,,85100.0,119100.0,3.7,71.4,
00BD,Richmond upon Thames,2,All Persons,,87100.0,120400.0,3.6,72.3,
00BE,Southwark,2,All Persons,,90900.0,121600.0,3.6,74.7,
00BF,Sutton,2,All Persons,,89900.0,125000.0,3.9,71.9,
00BG,Tower Hamlets,2,All Persons,,94900.0,128300.0,3.7,74.0,
00BH,Waltham Forest,2,All Persons,,95100.0,131100.0,3.7,72.5,
00BJ,Wandsworth,2,All Persons,,98400.0,130600.0,3.7,75.3,
00BK,Westminster,2,All Persons,,98500.0,135700.0,4.1,72.6,
A,North East,2,All Persons,,103500.0,139500.0,5.8,74.2,
B,North West,2,All Persons,,96600.0,141200.0,6.0,68.4,
D,Yorkshire and The Humber,2,All Persons,,106700.0,142000.0,6.0,75.2,
E,East Midlands,2,All Persons,,105800.0,141400.0,5.8,74.8,
F,West Midlands,2,All Persons,,105600.0,146300.0,5.4,72.2,
G,East,3,All Persons,,159800.0,214700.0,4.0,74.4,
H,London,3,All Persons,,160400.0,218200.0,3.7,73.5,
J,South East,3,All Persons,,159600.0,219900.0,3.5,72.6,
K,South West,3,All Persons,,162500.0,223100.0,3.4,72.8,
921,England,3,All Persons,,173600.0,231100.0,3.6,75.1,
924,Wales,3,All Persons,,176300.0,234200.0,3.7,75.3,
923,Scotland,3,All Persons,,176600.0,238200.0,3.8,74.1,
922,Northern Ireland,3,All Persons,,184000.0,240000.0,3.8,76.7,
941,England and Wales,3,All Persons,,183700.0,244000.0,3.7,75.3,
925,Great Britain,3,All Persons,,181700.0,250600.0,4.0,72.5,
926,United Kingdom,3,All Persons,,192100.0,249700.0,3.7,76.9,
00AA,City of London,1,Males,,1900.0,3000.0,,62.9,
00AB,Barking and Dagenham,1,Males,,2000.0,2000.0,,100.0,
00AC,Barnet,1,Males,,4900.0,5400.0,,91.3,
00AD,Bexley,1,Males,,4500.0,5100.0,,88.2,
00AE,Brent,1,Males,,,,,,
00AF,Bromley,1,Males,,,1500.0,,,
00AG,Camden,1,Males,,,1500.0,,,
00AH,Croydon,1,Males,,,,,,
00AJ,Ealing,1,Males,,,,,,
00AK,Enfield,1,Males,,,,,,
00AL,Greenwich,1,Males,,2200.0,3500.0,,63.5,
00AM,Hackney,1,Males,,4000.0,5300.0,,75.2,
00AN,Hammersmith and Fulham,1,Males,,3300.0,4400.0,,74.8,
00AP,Haringey,1,Males,,4800.0,5800.0,,81.5,
00AQ,Harrow,1,Males,,,,,100.0,
00AR,Havering,1,Males,,17200.0,17200.0,,100.0,
00AS,Hillingdon,1,Males,,11000.0,11000.0,,100.0,
00AT,Hounslow,1,Males,,,,,,
00AU,Islington,1,Males,,,,,,
00AW,Kensington and Chelsea,2,Males,,40200.0,50900.0,5.0,79.0,
00AX,Kingston upon Thames,2,Males,,39500.0,51200.0,5.0,77.1,
00AY,Lambeth,2,Males,,43000.0,51700.0,4.7,83.1,
00AZ,Lewisham,2,Males,,42200.0,52500.0,4.7,80.3,
00BA,Merton,2,Males,,43400.0,54000.0,5.0,80.3,
00BB,Newham,2,Males,,47800.0,56100.0,4.1,85.2,
00BC,Redbridge,2,Males,,46900.0,57800.0,4.6,81.1,
00BD,Richmond upon Thames,2,Males,,48700.0,58400.0,4.4,83.2,
00BE,Southwark,2,Males,,49300.0,59500.0,4.7,82.9,
00BF,Sutton,2,Males,,48500.0,60900.0,5.1,79.6,
00BG,Tower Hamlets,2,Males,,52700.0,63100.0,4.5,83.6,
00BH,Waltham Forest,2,Males,,51100.0,63900.0,4.9,80.0,
00BJ,Wandsworth,2,Males,,54500.0,65100.0,4.7,83.8,
00BK,Westminster,2,Males,,54800.0,66600.0,5.1,82.3,
A,North East,2,Males,,54500.0,67600.0,7.8,80.6,
B,North West,2,Males,,50500.0,62700.0,8.0,80.7,
D,Yorkshire and The Humber,2,Males,,59500.0,65900.0,6.1,90.2,
E,East Midlands,2,Males,,56900.0,66600.0,7.2,85.5,
F,West Midlands,2,Males,,56600.0,70200.0,7.0,80.6,
G,East,3,Males,,85200.0,104500.0,5.1,81.5,
H,London,3,Males,,85700.0,105400.0,4.8,81.3,
J,South East,3,Males,,84000.0,106400.0,4.8,78.9,
K,South West,3,Males,,87200.0,108200.0,4.4,80.6,
921,England,3,Males,,90500.0,111900.0,4.6,80.9,
924,Wales,3,Males,,97400.0,114200.0,4.5,85.3,
923,Scotland,3,Males,,92300.0,115800.0,5.2,79.7,
922,Northern Ireland,3,Males,,98000.0,117200.0,4.8,83.6,
941,England and Wales,3,Males,,99300.0,119400.0,4.8,83.1,
925,Great Britain,3,Males,,99000.0,123000.0,5.0,80.5,
926,United Kingdom,3,Males,,101200.0,124200.0,4.8,81.5,
00AA,City of London,1,Females,,,,,,
00AB,Barking and Dagenham,1,Females,,,1400.0,,,
00AC,Barnet,1,Females,,1200.0,1200.0,,100.0,
00AD,Bexley,1,Females,,,,,,
00AE,Brent,1,Females,,,,,,
00AF,Bromley,1,Females,,,,,,
00AG,Camden,1,Females,,,,,,
00AH,Croydon,1,Females,,,,,65.6,
00AJ,Ealing,1,Females,,,,,,
00AK,Enfield,1,Females,,,3600.0,,,
00AL,Greenwich,1,Females,,2700.0,2700.0,,100.0,
00AM,Hackney,1,Females,,3300.0,5900.0,,55.8,
00AN,Hammersmith and Fulham,1,Females,,2500.0,3200.0,,77.6,
00AP,Haringey,1,Females,,,,,,
00AQ,Harrow,1,Females,,,,,,
00AR,Havering,1,Females,,8600.0,8600.0,,100.0,
00AS,Hillingdon,1,Females,,5700.0,5700.0,,100.0,
00AT,Hounslow,1,Females,,,,,,
00AU,Islington,1,Females,,,,,,
00AW,Kensington and Chelsea,2,Females,,32200.0,54100.0,5.5,59.5,
00AX,Kingston upon Thames,2,Females,,32700.0,53800.0,5.4,60.8,
00AY,Lambeth,2,Females,,33600.0,54200.0,5.4,62.0,
00AZ,Lewisham,2,Females,,34400.0,55900.0,5.1,61.6,
00BA,Merton,2,Females,,35300.0,56600.0,5.5,62.4,
00BB,Newham,2,Females,,35600.0,59100.0,5.1,60.3,
00BC,Redbridge,2,Females,,38200.0,61300.0,5.4,62.3,
00BD,Richmond upon Thames,2,Females,,38400.0,62000.0,5.3,62.0,
00BE,Southwark,2,Females,,41500.0,62100.0,5.2,66.9,
00BF,Sutton,2,Females,,41400.0,64000.0,5.6,64.7,
00BG,Tower Hamlets,2,Females,,42200.0,65200.0,5.5,64.7,
00BH,Waltham Forest,2,Females,,44000.0,67200.0,5.3,65.5,
00BJ,Wandsworth,2,Females,,43800.0,65600.0,5.5,66.9,
00BK,Westminster,2,Females,,43700.0,69100.0,6.0,63.2,
A,North East,2,Females,,49100.0,71900.0,8.3,68.3,
B,North West,2,Females,,46100.0,78600.0,8.3,58.6,
D,Yorkshire and The Humber,2,Females,,47200.0,76100.0,9.0,62.1,
E,East Midlands,2,Females,,48800.0,74800.0,8.5,65.3,
F,West Midlands,2,Females,,49000.0,76000.0,7.8,64.4,
G,East,3,Females,,74500.0,110200.0,5.9,67.7,
H,London,3,Females,,74700.0,112800.0,5.5,66.3,
J,South East,3,Females,,75600.0,113400.0,5.1,66.7,
K,South West,3,Females,,75300.0,114800.0,5.0,65.6,
921,England,3,Females,,83100.0,119200.0,5.4,69.7,
924,Wales,3,Females,,78900.0,120000.0,5.6,65.7,
923,Scotland,3,Females,,84300.0,122400.0,5.6,68.9,
922,Northern Ireland,3,Females,,86000.0,122800.0,5.7,70.0,
941,England and Wales,3,Females,,84400.0,124600.0,5.5,67.7,
925,Great Britain,3,Females,,82700.0,127700.0,6.0,64.8,
926,United Kingdom,3,Females,,90900.0,125500.0,5.5,72.5,
